object,,start,start_sec,end,end_sec,duration,duration_sec
card,,00:12.2,12.219,00:13.6,13.625,00:01.4,1.406
card,,00:27.0,27.028,00:28.7,28.74,00:01.7,1.712
card,,00:40.4,40.369,00:42.1,42.096,00:01.7,1.727
card,,01:01.4,61.419,01:02.5,62.537,00:01.1,1.118
card,,01:09.9,69.919,01:11.3,71.267,00:01.3,1.348
map,,00:24.6,24.635,00:26.6,26.575,00:01.9,1.94
map,,00:37.9,37.903,00:40.0,40.042,00:02.1,2.139
map,,00:50.4,50.385,00:51.9,51.928,00:01.5,1.543
map,,01:02.8,62.829,01:03.9,63.913,00:01.1,1.084
map,,01:12.0,71.951,01:17.1,77.061,00:05.1,5.11
key,,00:08.4,8.361,00:09.6,9.575,00:01.2,1.214
key,,00:22.5,22.5,00:24.4,24.408,00:01.9,1.908
key,,00:34.9,34.941,00:37.5,37.509,00:02.6,2.568
key,,00:48.3,48.316,00:50.3,50.256,00:01.9,1.94
key,,01:04.1,64.074,01:05.2,65.188,00:01.1,1.114
key,,01:17.2,77.226,01:19.4,79.364,00:02.1,2.138
dice,,00:05.6,5.595,00:07.6,7.591,00:02.0,1.996
dice,,00:18.7,18.683,00:19.9,19.868,00:01.2,1.185
dice,,00:33.0,32.973,00:34.7,34.683,00:01.7,1.71
dice,,00:46.7,46.746,00:47.7,47.731,00:01.0,0.985
dice,,01:05.3,65.318,01:06.3,66.334,00:01.0,1.016
dice,,01:19.5,79.528,01:22.2,82.196,00:02.7,2.668
ball,,00:14.4,14.445,00:16.2,16.155,00:01.7,1.71
ball,,00:28.9,28.931,00:30.3,30.278,00:01.3,1.347
ball,,00:42.7,42.716,00:43.8,43.76,00:01.0,1.044
ball,,00:53.8,53.798,00:54.0,54.025,00:00.2,0.227
ball,,00:54.7,54.681,00:55.7,55.699,00:01.0,1.018
ball,,00:59.8,59.789,00:59.9,59.946,00:00.2,0.157
ball,,01:00.5,60.54,01:01.3,61.294,00:00.8,0.754
ball,,01:08.9,68.907,01:09.8,69.824,00:00.9,0.917
face,,00:16.3,16.32,00:18.5,18.525,00:02.2,2.205
face,,00:30.7,30.671,00:32.0,32.018,00:01.3,1.347
face,,00:44.6,44.58,00:46.6,46.587,00:02.0,2.007
face,,00:55.8,55.79,00:59.6,59.596,00:03.8,3.806
face,,01:07.3,67.346,01:08.4,68.362,00:01.0,1.016
face,,01:22.6,82.556,01:24.7,84.672,00:02.1,2.142
