object,,start,start_sec,end,end_sec,duration,duration_sec
face,,00:00.1,0.115,00:03.2,3.178,00:03.1,3.063
face,,00:05.3,5.279,00:07.3,7.251,00:02.0,1.972
face,,00:17.6,17.607,00:19.7,19.746,00:02.1,2.139
face,,00:24.7,24.675,00:26.8,26.78,00:02.1,2.105
face,,00:31.2,31.249,00:33.1,33.123,00:01.9,1.874
face,,00:45.3,45.321,00:47.4,47.428,00:02.1,2.107
face,,00:53.0,52.959,00:54.7,54.67,00:01.7,1.711
face,,00:54.9,54.901,00:56.6,56.646,00:01.7,1.745
face,,00:56.8,56.778,00:58.2,58.159,00:01.4,1.381
face,,01:09.6,69.622,01:11.5,71.497,00:01.9,1.875
face,,01:16.2,76.169,01:17.9,77.945,00:01.8,1.776
face,,01:29.4,89.418,01:30.9,90.864,00:01.4,1.446
face,,01:31.1,91.062,01:33.2,93.234,00:02.2,2.172
face,,01:49.1,109.091,01:51.0,110.966,00:01.9,1.875
face,,01:53.7,113.658,01:55.5,115.533,00:01.9,1.875
face,,01:58.0,118.037,02:00.2,120.209,00:02.2,2.172
face,,02:09.1,129.133,02:11.1,131.078,00:01.9,1.945
face,,02:13.3,133.313,02:15.3,135.254,00:01.9,1.941
face,,02:21.0,141.016,02:22.8,142.761,00:01.7,1.745
face,,02:30.2,150.191,02:31.7,151.705,00:01.5,1.514
face,,02:31.9,151.903,02:33.2,153.182,00:01.3,1.279
face,,02:39.7,159.692,02:41.2,161.238,00:01.5,1.546
face,,02:45.7,165.708,02:47.4,167.386,00:01.7,1.678
face,,02:53.1,173.146,02:55.0,174.956,00:01.8,1.81
face,,02:59.2,179.161,03:02.4,182.388,00:03.2,3.227
face,,03:10.6,190.574,03:12.1,192.149,00:01.6,1.575
face,,03:14.4,194.419,03:15.7,195.701,00:01.3,1.282
face,,03:15.9,195.932,03:17.1,197.079,00:01.1,1.147
face,,03:18.4,198.424,03:19.4,199.376,00:01.0,0.952
face,,03:20.8,200.786,03:22.0,202.035,00:01.2,1.249
face,,03:23.7,203.713,03:25.0,204.991,00:01.3,1.278
face,,03:30.5,210.512,03:32.3,212.323,00:01.8,1.811
face,,03:36.6,216.584,03:37.1,217.071,00:00.5,0.487
face,,03:43.1,223.123,03:45.2,225.194,00:02.1,2.071
face,,03:49.5,229.532,03:55.4,235.401,00:05.9,5.869
face,,03:55.7,235.66,04:00.4,240.405,00:04.7,4.745
