"('face', 0.9801837801933289, (341.1489562988281, 323.3852844238281, 85.85459899902344, 99.26879119873047))","('dice', 0.941299557685852, (601.6607666015625, 99.47969055175781, 66.37569427490234, 112.53433990478516))","('ball', 0.6288096308708191, (261.9933166503906, 595.3807373046875, 95.1949234008789, 79.42949676513672))","('map', 0.35938897728919983, (1209.30126953125, 227.78567504882812, 106.89669799804688, 169.80239868164062))","('key', 0.28378018736839294, (896.9298706054688, 130.16751098632812, 120.31929779052734, 69.90829467773438))"
"('face', 0.979568362236023, (341.2051696777344, 323.6663818359375, 86.57022094726562, 98.18415832519531))","('dice', 0.9350230693817139, (601.2603149414062, 99.4633560180664, 66.14920806884766, 110.8843765258789))","('ball', 0.6141039133071899, (262.5330505371094, 595.7891845703125, 94.26980590820312, 80.27754211425781))","('key', 0.29160818457603455, (896.669189453125, 130.58944702148438, 121.28147888183594, 70.97452545166016))"
"('face', 0.9765582084655762, (341.4449768066406, 323.91973876953125, 85.64524841308594, 97.76556396484375))","('dice', 0.9269734621047974, (601.3573608398438, 99.34065246582031, 65.34663391113281, 110.60049438476562))","('ball', 0.6288074254989624, (262.4158630371094, 596.0115356445312, 94.26980590820312, 79.76958465576172))","('key', 0.3150402307510376, (897.1533813476562, 131.01414489746094, 122.06123352050781, 70.0962905883789))"
"('face', 0.9804826974868774, (341.4158630371094, 323.50592041015625, 85.83364868164062, 98.22611999511719))","('dice', 0.9300469756126404, (601.4551391601562, 99.74479675292969, 65.8591537475586, 111.89054870605469))","('ball', 0.6360700130462646, (262.21441650390625, 595.9866333007812, 93.55903625488281, 79.91577911376953))","('key', 0.3248611092567444, (897.0537109375, 131.5184783935547, 122.52401733398438, 70.47379302978516))"
"('face', 0.9792454242706299, (341.59228515625, 323.7301330566406, 84.9580078125, 99.25061798095703))","('dice', 0.9259195327758789, (601.6856689453125, 100.02381134033203, 66.05238342285156, 111.78134155273438))","('ball', 0.6324454545974731, (262.3627014160156, 596.0604248046875, 92.87628936767578, 79.87677001953125))","('key', 0.31220629811286926, (897.2455444335938, 131.47264099121094, 121.66702270507812, 69.94243621826172))"
"('face', 0.9750840067863464, (341.59228515625, 323.7705078125, 84.77153778076172, 101.18962860107422))","('dice', 0.9377844929695129, (601.760498046875, 99.5041732788086, 66.14920806884766, 112.65804290771484))","('ball', 0.6360682249069214, (261.3858947753906, 595.872314453125, 93.2284164428711, 79.7988052368164))","('key', 0.33868610858917236, (897.49072265625, 131.39068603515625, 122.03888702392578, 70.47379302978516))"
"('face', 0.979569673538208, (341.5251159667969, 323.1324768066406, 84.93727111816406, 99.980224609375))","('dice', 0.9359630942344666, (601.7855224609375, 99.1583480834961, 65.34663391113281, 112.68555450439453))","('ball', 0.6504122614860535, (261.90948486328125, 595.6806030273438, 93.73050689697266, 80.11112213134766))","('key', 0.31875717639923096, (896.880615234375, 130.67172241210938, 120.97097778320312, 69.58476257324219))"
"('face', 0.9827401638031006, (341.7172546386719, 322.75726318359375, 86.02244567871094, 99.87042999267578))","('dice', 0.9310612082481384, (601.752197265625, 99.07100677490234, 65.15547180175781, 110.91144561767578))","('ball', 0.6396800875663757, (261.7477722167969, 595.4869384765625, 94.68498992919922, 79.22614288330078))","('key', 0.3127610683441162, (896.3339233398438, 130.7453155517578, 121.62989807128906, 70.611572265625))"
"('face', 0.9862958192825317, (341.70123291015625, 322.153076171875, 85.81268310546875, 97.30717468261719))","('dice', 0.9359185099601746, (601.6359252929688, 98.67010498046875, 64.80644989013672, 112.97479248046875))","('ball', 0.5592318177223206, (262.34149169921875, 594.10400390625, 94.93962097167969, 78.43706512451172))","('key', 0.3832393288612366, (896.3260498046875, 130.09071350097656, 121.70416259765625, 70.92255401611328))"
"('face', 0.9856462478637695, (341.7438049316406, 321.979736328125, 86.57022094726562, 97.36956024169922))","('dice', 0.9405059814453125, (601.4306030273438, 98.43926239013672, 65.21913146972656, 114.01386260986328))","('ball', 0.5611554980278015, (262.0773620605469, 594.5748901367188, 94.92802429199219, 78.82099151611328))","('key', 0.3890475630760193, (896.2239990234375, 130.07928466796875, 122.1432113647461, 70.37063598632812))"
"('face', 0.979249894618988, (341.79095458984375, 321.8148193359375, 84.39982604980469, 97.88199615478516))","('dice', 0.9359821677207947, (601.7855224609375, 98.28461456298828, 64.42784118652344, 113.54164123535156))","('ball', 0.5726666450500488, (262.6292724609375, 594.4158935546875, 95.82450866699219, 77.61793518066406))","('key', 0.4555490016937256, (896.669189453125, 130.38429260253906, 123.27412414550781, 70.50820922851562))"
"('face', 0.9754540324211121, (341.9380187988281, 321.6023864746094, 83.64085388183594, 99.16584777832031))","('dice', 0.9486649036407471, (601.7438354492188, 97.99028015136719, 64.74319458007812, 112.35591125488281))","('ball', 0.5534477829933167, (262.9249267578125, 593.8989868164062, 95.17169189453125, 78.9654541015625))","('key', 0.4386323094367981, (897.0702514648438, 130.52877807617188, 124.0212631225586, 70.1647720336914))"
"('face', 0.9765559434890747, (342.077880859375, 321.4593505859375, 84.91653442382812, 97.31014251708984))","('dice', 0.9570378661155701, (602.3724365234375, 97.56389617919922, 64.77481842041016, 112.5206069946289))","('ball', 0.5669195055961609, (262.5330505371094, 593.8355102539062, 94.6272201538086, 79.38103485107422))","('key', 0.4654514193534851, (897.279052734375, 130.54258728027344, 123.28164672851562, 69.02639770507812))"
"('face', 0.9776040315628052, (341.9380187988281, 321.18267822265625, 85.89653015136719, 96.39389038085938))","('dice', 0.9494108557701111, (602.60791015625, 98.00623321533203, 64.71159362792969, 111.27760314941406))","('ball', 0.5840961933135986, (262.8386535644531, 593.927490234375, 95.2530517578125, 79.43919372558594))","('map', 0.5658125877380371, (1208.95751953125, 233.942138671875, 131.34365844726562, 223.65084838867188))","('key', 0.46876490116119385, (897.3803100585938, 130.54534912109375, 124.1575927734375, 69.92536163330078))"
"('face', 0.9743116497993469, (341.8424987792969, 321.5863342285156, 85.60343933105469, 97.1914291381836))","('dice', 0.9516077041625977, (602.3291625976562, 98.28963470458984, 63.70832824707031, 111.60408782958984))","('map', 0.8717119097709656, (1208.822509765625, 233.39634704589844, 136.30929565429688, 218.57669067382812))","('ball', 0.610395073890686, (262.811767578125, 594.2247924804688, 95.76603698730469, 78.427490234375))","('key', 0.41132572293281555, (897.55908203125, 130.74258422851562, 122.61378479003906, 69.92536163330078))"
"('face', 0.977941632270813, (341.972412109375, 321.2118835449219, 84.54418182373047, 96.7652587890625))","('map', 0.9581544399261475, (1208.4388427734375, 231.6614990234375, 135.44679260253906, 217.8308868408203))","('dice', 0.9516159892082214, (602.1573486328125, 98.83617401123047, 62.96611022949219, 112.795654296875))","('ball', 0.5991936326026917, (262.3627014160156, 594.59130859375, 94.500244140625, 78.51370239257812))","('key', 0.41917964816093445, (897.3296508789062, 131.0247802734375, 123.64334869384766, 69.39813995361328))"
