"('face', 0.973730742931366, (643.1033325195312, 273.86663818359375, 83.29443359375, 112.31476593017578))","('map', 0.9279782176017761, (1213.95068359375, 213.1190643310547, 108.98509216308594, 206.52806091308594))","('dice', 0.7271451950073242, (621.0369262695312, 88.08866119384766, 69.39151000976562, 106.68854522705078))","('key', 0.6379234790802002, (911.328857421875, 119.2026138305664, 108.63525390625, 50.91777801513672))"
"('face', 0.9725176095962524, (642.846923828125, 273.5360412597656, 83.84530639648438, 111.27760314941406))","('map', 0.9404448866844177, (1214.364501953125, 213.2472686767578, 108.2789535522461, 204.12191772460938))","('dice', 0.762724757194519, (620.8572998046875, 87.7002182006836, 69.54415130615234, 105.60015869140625))","('key', 0.6171571612358093, (908.3246459960938, 120.33233642578125, 124.53706359863281, 64.43399047851562))"
"('face', 0.9639430046081543, (642.4329223632812, 273.4390869140625, 84.64745330810547, 112.10929870605469))","('map', 0.920403242111206, (1214.2415771484375, 213.34056091308594, 108.39797973632812, 205.1210479736328))","('dice', 0.7363482117652893, (620.636962890625, 87.82182312011719, 69.49323272705078, 106.5063705444336))","('key', 0.5974493026733398, (908.1893310546875, 120.2499771118164, 124.9558334350586, 64.10448455810547))"
"('face', 0.9628039002418518, (642.0921630859375, 272.67108154296875, 86.40130615234375, 111.12828826904297))","('map', 0.9226527214050293, (1213.9075927734375, 213.6167449951172, 108.20957946777344, 205.32147216796875))","('dice', 0.7765741348266602, (620.7830200195312, 87.89134216308594, 69.54415130615234, 107.06689453125))","('key', 0.6096780300140381, (910.2943115234375, 120.1519775390625, 110.72380828857422, 49.57763671875))"
"('face', 0.9716243743896484, (638.063720703125, 272.1899719238281, 88.29922485351562, 106.02640533447266))","('map', 0.9290589094161987, (1214.1824951171875, 213.71304321289062, 109.38493347167969, 206.62890625))","('dice', 0.7423673868179321, (620.9429321289062, 87.85262298583984, 69.62908935546875, 106.46736907958984))","('key', 0.598985493183136, (908.5881958007812, 120.0621337890625, 124.37754821777344, 64.18278503417969))"
"('face', 0.9703068137168884, (637.940185546875, 271.724609375, 88.55828857421875, 107.9856948852539))","('map', 0.9132512211799622, (1214.6358642578125, 214.28614807128906, 109.06826782226562, 205.82334899902344))","('dice', 0.7453376650810242, (620.599609375, 88.35033416748047, 69.83338165283203, 105.17561340332031))","('key', 0.5765846371650696, (908.9867553710938, 120.52892303466797, 122.96601867675781, 64.6388168334961))"
"('face', 0.9685084819793701, (638.034423828125, 271.8471984863281, 88.10542297363281, 107.0146255493164))","('map', 0.9054824113845825, (1215.3477783203125, 214.88092041015625, 108.85545349121094, 208.75856018066406))","('dice', 0.7113699316978455, (620.30615234375, 89.21147918701172, 69.81633758544922, 105.3876724243164))","('key', 0.5190883874893188, (908.6522827148438, 121.00296783447266, 122.79351806640625, 65.6086654663086))"
"('face', 0.9728710651397705, (637.796875, 271.6291198730469, 89.3400650024414, 106.94932556152344))","('map', 0.8911023736000061, (1213.218994140625, 228.24588012695312, 107.07953643798828, 193.07009887695312))","('dice', 0.7598401308059692, (620.1183471679688, 89.5926742553711, 71.29769897460938, 105.5486068725586))","('key', 0.5148199200630188, (909.595947265625, 122.01033020019531, 120.68336486816406, 65.849365234375))"
"('face', 0.9639502763748169, (637.83349609375, 271.6039733886719, 87.44111633300781, 107.38102722167969))","('map', 0.8834283947944641, (1216.0572509765625, 215.3809051513672, 108.31861877441406, 207.94468688964844))","('dice', 0.7541003227233887, (620.6741943359375, 89.21614074707031, 69.66310119628906, 104.54840087890625))","('key', 0.5361413359642029, (910.2184448242188, 121.98915100097656, 121.25927734375, 65.56062316894531))"
"('face', 0.9660890698432922, (637.6702270507812, 271.4169006347656, 88.439453125, 107.90663146972656))","('map', 0.8927138447761536, (1215.440673828125, 215.54302978515625, 107.70880126953125, 208.6566619873047))","('dice', 0.739356517791748, (620.702880859375, 89.18354034423828, 69.76522064208984, 105.1114501953125))","('key', 0.5610352754592896, (909.8749389648438, 121.7715072631836, 122.00164794921875, 65.36883544921875))"
"('face', 0.977462887763977, (637.5321044921875, 271.5871887207031, 87.93350982666016, 108.80606079101562))","('map', 0.8912570476531982, (1215.7939453125, 215.61154174804688, 108.24261474609375, 209.9853515625))","('dice', 0.724027693271637, (620.7658081054688, 88.78873443603516, 70.57035827636719, 104.89354705810547))","('key', 0.593093752861023, (909.6273803710938, 121.5649642944336, 121.88999938964844, 65.2890853881836))"
"('face', 0.9660831093788147, (637.4341430664062, 271.8471984863281, 88.87234497070312, 109.68621063232422))","('map', 0.8699951767921448, (1215.7889404296875, 215.57965087890625, 108.93852996826172, 206.72984313964844))","('dice', 0.7792549133300781, (620.3580322265625, 89.17889404296875, 71.6641845703125, 104.63777160644531))","('key', 0.49868133664131165, (909.6027221679688, 122.32634735107422, 120.95620727539062, 66.12323760986328))"
"('face', 0.9639995694160461, (637.4671630859375, 272.1011657714844, 86.80302429199219, 108.44804382324219))","('map', 0.9113404750823975, (1213.988525390625, 228.89096069335938, 108.01821899414062, 188.13775634765625))","('dice', 0.8238067030906677, (620.4962158203125, 89.12332153320312, 69.86749267578125, 106.06523895263672))","('key', 0.5377256870269775, (909.5323486328125, 122.222900390625, 123.90020751953125, 65.05043029785156))"
"('face', 0.9561992883682251, (637.7216186523438, 273.3183288574219, 86.99395751953125, 109.4721908569336))","('map', 0.892396867275238, (1213.875, 229.4219970703125, 107.35438537597656, 186.67367553710938))","('dice', 0.7682991027832031, (620.6426391601562, 90.41624450683594, 69.59510040283203, 107.35481262207031))","('key', 0.5779143571853638, (909.309814453125, 123.13228607177734, 121.83793640136719, 65.59264373779297))"
"('face', 0.9492204785346985, (637.7803344726562, 274.24755859375, 82.64622497558594, 109.96775817871094))","('map', 0.92657071352005, (1214.4285888671875, 230.05015563964844, 107.75811004638672, 187.12997436523438))","('dice', 0.7949318885803223, (621.1449584960938, 91.1490249633789, 71.15858459472656, 107.27621459960938))","('key', 0.623082160949707, (909.8280029296875, 123.64579010009766, 122.41935729980469, 64.90765380859375))"
"('map', 0.9128028750419617, (1215.0931396484375, 229.4027557373047, 107.93254852294922, 189.4282684326172))","('face', 0.8892034888267517, (642.0001831054688, 274.0476379394531, 84.66812133789062, 106.07819366455078))","('dice', 0.7710409164428711, (621.8329467773438, 92.71660614013672, 71.62919616699219, 107.68293762207031))","('key', 0.6366881728172302, (908.9710083007812, 124.93251037597656, 124.27890014648438, 64.481201171875))"
"('map', 0.9356886148452759, (1215.233642578125, 228.85409545898438, 108.67953491210938, 191.66119384765625))","('face', 0.9248083233833313, (638.3185424804688, 279.9009704589844, 89.65689849853516, 106.33748626708984))","('dice', 0.821542501449585, (621.9671020507812, 92.36681365966797, 72.12052917480469, 106.57139587402344))","('key', 0.6560489535331726, (909.0225830078125, 124.66677856445312, 123.59053802490234, 65.3050308227539))"
"('map', 0.9328614473342896, (1215.3114013671875, 228.62515258789062, 108.60327911376953, 190.54147338867188))","('face', 0.9269218444824219, (638.3026123046875, 279.8905944824219, 92.29988098144531, 105.24625396728516))","('dice', 0.8073976635932922, (621.9057006835938, 92.421142578125, 70.93309783935547, 107.4334716796875))","('key', 0.6365880966186523, (908.7657470703125, 124.54444885253906, 123.63580322265625, 65.25721740722656))"
"('face', 0.9454254508018494, (638.2240600585938, 280.2987365722656, 91.827880859375, 105.71623229980469))","('map', 0.9451760053634644, (1215.4149169921875, 228.64060974121094, 108.13365936279297, 191.56764221191406))","('dice', 0.7974910140037537, (622.0897216796875, 92.94489288330078, 71.36736297607422, 106.00052642822266))","('key', 0.6416667103767395, (908.7955322265625, 125.426025390625, 123.59808349609375, 65.91370391845703))"
"('face', 0.9485403895378113, (638.2039184570312, 280.3423767089844, 91.60395812988281, 105.98758697509766))","('map', 0.929664671421051, (1215.368408203125, 228.7130584716797, 108.43768310546875, 189.6133575439453))","('dice', 0.8024923801422119, (621.8721923828125, 93.22574615478516, 69.68010711669922, 106.54537963867188))","('key', 0.6620121002197266, (909.2088623046875, 125.29118347167969, 123.74905395507812, 65.38479614257812))"
"('face', 0.9339583516120911, (638.2506713867188, 280.5896911621094, 92.7290267944336, 103.18541717529297))","('map', 0.9288927316665649, (1214.7679443359375, 228.69747924804688, 111.04987335205078, 188.78192138671875))","('dice', 0.8260773420333862, (621.33203125, 93.2383041381836, 70.43266296386719, 107.1584243774414))","('key', 0.6865823864936829, (909.0352783203125, 125.66997528076172, 123.48497009277344, 65.38479614257812))"
"('face', 0.956281840801239, (638.2340698242188, 280.73822021484375, 93.65044403076172, 102.35742950439453))","('map', 0.9288970232009888, (1215.15576171875, 228.71823120117188, 110.15373229980469, 188.59765625))","('dice', 0.8192468881607056, (621.4111938476562, 93.90644073486328, 71.36736297607422, 105.78077697753906))","('key', 0.6543594598770142, (908.6508178710938, 125.87054443359375, 125.01686096191406, 65.44867706298828))"
"('face', 0.9639864563941956, (638.131591796875, 280.845458984375, 94.16629791259766, 101.34415435791016))","('map', 0.9375912547111511, (1214.8837890625, 228.7911834716797, 110.14533233642578, 188.68975830078125))","('dice', 0.8169324994087219, (621.5860595703125, 94.34249877929688, 70.93309783935547, 106.49336242675781))","('key', 0.6944628357887268, (908.6060180664062, 126.10818481445312, 126.7378158569336, 64.79682159423828))","('ball', 0.2500169575214386, (353.64886474609375, 598.8236083984375, 94.39647674560547, 96.21461486816406))"
"('face', 0.9640651345252991, (638.1903686523438, 281.8709716796875, 92.34496307373047, 100.78897857666016))","('map', 0.942730188369751, (1215.15576171875, 229.08236694335938, 110.43141174316406, 190.54147338867188))","('dice', 0.8261024951934814, (621.7321166992188, 95.67765808105469, 71.00241088867188, 104.88074493408203))","('key', 0.5677362680435181, (907.7991943359375, 127.11971282958984, 124.30924224853516, 65.704833984375))","('ball', 0.2604549527168274, (354.86663818359375, 599.4190673828125, 93.81063842773438, 96.71212005615234))"
"('face', 0.9782091975212097, (638.2073364257812, 283.0296936035156, 91.11326599121094, 102.14523315429688))","('map', 0.9535544514656067, (1214.6676025390625, 229.88694763183594, 108.74919891357422, 185.85513305664062))","('dice', 0.857234537601471, (621.213134765625, 95.81189727783203, 69.62908935546875, 106.25962829589844))","('key', 0.4246578514575958, (907.4813842773438, 127.65022277832031, 123.08616638183594, 65.67276000976562))","('ball', 0.3655277490615845, (354.2242736816406, 599.3570556640625, 93.2967300415039, 98.28009033203125))"
"('face', 0.9788706302642822, (638.1663818359375, 284.6614990234375, 89.70068359375, 102.70161437988281))","('map', 0.9468768835067749, (1214.34326171875, 231.5651397705078, 107.81403350830078, 183.51055908203125))","('dice', 0.8098273873329163, (621.241455078125, 96.81047058105469, 68.08259582519531, 105.78077697753906))","('key', 0.3797176778316498, (907.2574462890625, 129.05117797851562, 123.14628601074219, 65.81722259521484))","('ball', 0.32326585054397583, (354.9940490722656, 600.0525512695312, 92.81962585449219, 97.67610931396484))"
"('face', 0.9818428158760071, (638.159423828125, 285.94366455078125, 90.31597137451172, 101.32559204101562))","('map', 0.9594249725341797, (1214.6199951171875, 232.35028076171875, 108.46747589111328, 185.85513305664062))","('dice', 0.8736069202423096, (621.088134765625, 97.52888488769531, 66.79837036132812, 107.05382537841797))","('key', 0.38267385959625244, (909.3123779296875, 128.962158203125, 106.32617950439453, 50.42911148071289))","('ball', 0.33361199498176575, (354.9142761230469, 599.8446044921875, 93.68475341796875, 97.17660522460938))"
"('face', 0.9801017045974731, (638.2373657226562, 286.1888427734375, 89.51473236083984, 100.98603057861328))","('map', 0.9535667300224304, (1214.2576904296875, 232.46795654296875, 109.80802917480469, 184.9498291015625))","('dice', 0.8591444492340088, (621.4677124023438, 98.02218627929688, 67.02706909179688, 107.49906158447266))","('ball', 0.33884504437446594, (355.0020751953125, 600.2076416015625, 92.52549743652344, 97.79242706298828))","('key', 0.3055608868598938, (906.9225463867188, 129.73873901367188, 122.06123352050781, 65.88153076171875))"
"('face', 0.9815710186958313, (638.2637939453125, 286.21295166015625, 90.55884552001953, 101.46174621582031))","('map', 0.9574556350708008, (1214.0479736328125, 232.691650390625, 108.72596740722656, 186.491455078125))","('dice', 0.897294282913208, (622.7025756835938, 97.7716064453125, 66.99435424804688, 107.26311492919922))","('ball', 0.3746759295463562, (355.0421142578125, 599.5208740234375, 93.3650894165039, 97.75959777832031))","('key', 0.3513570725917816, (909.228515625, 130.18092346191406, 104.06620025634766, 49.25791549682617))"
"('face', 0.9771788716316223, (638.2140502929688, 285.937744140625, 90.64732360839844, 102.08914184570312))","('map', 0.9541632533073425, (1214.3004150390625, 233.2602996826172, 108.95848083496094, 190.07684326171875))","('dice', 0.8898757100105286, (622.4938354492188, 97.17240905761719, 66.928955078125, 107.60408782958984))","('ball', 0.33710384368896484, (354.8428649902344, 599.6314086914062, 93.77628326416016, 98.28009033203125))","('key', 0.2998698055744171, (909.5879516601562, 130.04710388183594, 105.11310577392578, 49.318084716796875))"
"('face', 0.9742406010627747, (638.3026123046875, 285.48663330078125, 90.62519836425781, 102.12653350830078))","('map', 0.9541332125663757, (1214.588134765625, 232.63963317871094, 109.26483154296875, 187.4958038330078))","('dice', 0.8665452599525452, (622.6422729492188, 96.67036437988281, 67.09255981445312, 107.52530670166016))","('ball', 0.3494422137737274, (354.98602294921875, 599.5885009765625, 93.92521667480469, 97.73872375488281))","('key', 0.31763705611228943, (909.7042236328125, 129.3870849609375, 104.57557678222656, 50.05194091796875))"
"('face', 0.9764814376831055, (638.2637939453125, 286.3521423339844, 91.06878662109375, 103.98200988769531))","('map', 0.9528815746307373, (1214.56689453125, 232.46958923339844, 108.5038833618164, 186.30943298339844))","('dice', 0.864726185798645, (621.664794921875, 97.29805755615234, 66.57044219970703, 107.07996368408203))","('key', 0.3259432017803192, (908.925048828125, 129.44061279296875, 103.83778381347656, 49.795982360839844))","('ball', 0.32328590750694275, (354.7718505859375, 600.1332397460938, 94.0284652709961, 98.1302490234375))"
"('face', 0.9785001873970032, (638.3869018554688, 286.66119384765625, 91.4698715209961, 102.36992645263672))","('map', 0.9587400555610657, (1214.720458984375, 232.73883056640625, 108.8853530883789, 188.2296600341797))","('dice', 0.8867724537849426, (622.250732421875, 97.7278060913086, 66.5379409790039, 107.63036346435547))","('key', 0.37529948353767395, (909.1791381835938, 129.83975219726562, 104.8311996459961, 49.95732879638672))","('ball', 0.3494415283203125, (354.59197998046875, 600.0045166015625, 94.38495635986328, 97.1173095703125))"
"('face', 0.9768308997154236, (638.2240600585938, 287.970703125, 91.98493957519531, 102.13899993896484))","('map', 0.9650099873542786, (1214.34326171875, 233.1399688720703, 110.70135498046875, 188.87411499023438))","('dice', 0.8943824768066406, (621.8665161132812, 97.7716064453125, 66.5379409790039, 108.06480407714844))","('ball', 0.3547949492931366, (354.42218017578125, 600.305419921875, 93.94815063476562, 97.48551940917969))","('key', 0.2607085108757019, (905.8577880859375, 130.12205505371094, 122.26255798339844, 67.79053497314453))"
"('face', 0.9745939373970032, (638.135009765625, 287.7735290527344, 91.5145492553711, 101.56088256835938))","('map', 0.9575495719909668, (1214.3165283203125, 233.2883758544922, 111.11258697509766, 184.4988555908203))","('dice', 0.8851870894432068, (622.1842041015625, 98.27791595458984, 64.33352661132812, 108.4612808227539))","('ball', 0.3336276412010193, (354.2469787597656, 599.989501953125, 93.68475341796875, 97.9178466796875))","('key', 0.3222351372241974, (905.9501953125, 130.5784454345703, 123.27412414550781, 68.60637664794922))"
"('face', 0.9745760560035706, (638.2735595703125, 287.1190185546875, 90.11773681640625, 103.65885162353516))","('map', 0.9491069316864014, (1214.0479736328125, 232.962646484375, 110.16549682617188, 185.4924774169922))","('dice', 0.8736028075218201, (621.7433471679688, 97.7808609008789, 65.02833557128906, 108.34219360351562))","('ball', 0.3198745846748352, (354.42987060546875, 600.13623046875, 94.29283142089844, 98.12125396728516))","('key', 0.3146135210990906, (906.2862548828125, 129.94166564941406, 123.69619750976562, 67.75743865966797))"
"('face', 0.9721671342849731, (638.34375, 286.9622802734375, 90.41525268554688, 103.8995361328125))","('map', 0.9593141078948975, (1214.3486328125, 232.00799560546875, 110.09659576416016, 186.21847534179688))","('dice', 0.888330340385437, (622.2728881835938, 97.5550308227539, 65.89132690429688, 106.03935241699219))","('key', 0.34810176491737366, (909.1297607421875, 129.65310668945312, 105.16444396972656, 49.601844787597656))","('ball', 0.326699823141098, (354.36859130859375, 599.953369140625, 91.71585083007812, 98.21113586425781))"
"('face', 0.974165141582489, (638.2864990234375, 286.6426696777344, 92.04109954833984, 104.41448211669922))","('map', 0.9610509872436523, (1214.262939453125, 232.80076599121094, 109.91531372070312, 189.79859924316406))","('dice', 0.8958579301834106, (621.6759643554688, 97.29383087158203, 66.76575469970703, 105.90998077392578))","('ball', 0.3031296133995056, (354.9063415527344, 599.9050903320312, 93.41068267822266, 98.6978759765625))","('key', 0.2884032130241394, (908.9354858398438, 129.63551330566406, 105.96337890625, 49.817264556884766))"
"('face', 0.9712912440299988, (638.3468017578125, 286.2673034667969, 91.5145492553711, 103.41870880126953))","('map', 0.9535133242607117, (1214.2093505859375, 232.82196044921875, 110.15541076660156, 184.6791229248047))","('dice', 0.8972997069358826, (621.9112548828125, 97.55672454833984, 66.40811157226562, 107.36791229248047))","('key', 0.3284808099269867, (905.7971801757812, 130.16465759277344, 121.24447631835938, 66.23633575439453))","('ball', 0.30809247493743896, (355.0100402832031, 600.2936401367188, 93.99403381347656, 98.50228881835938))"
