"('face', 0.9923325777053833, (553.3157958984375, 325.8553771972656, 82.54540252685547, 113.18184661865234))","('map', 0.9664592742919922, (1205.8680419921875, 244.07119750976562, 149.99916076660156, 217.61825561523438))","('dice', 0.8640557527542114, (603.0885620117188, 102.77830505371094, 63.77057647705078, 106.15591430664062))","('face', 0.664384663105011, (1173.009521484375, 491.7146911621094, 66.79837036132812, 136.20709228515625))","('key', 0.47858452796936035, (894.591064453125, 142.29598999023438, 121.42962646484375, 68.20555877685547))","('ball', 0.4348479211330414, (318.03375244140625, 597.4466552734375, 95.52085876464844, 89.1035385131836))"
"('face', 0.9909123778343201, (553.0466918945312, 324.7212219238281, 83.457275390625, 113.59709167480469))","('map', 0.9731937646865845, (1206.4632568359375, 244.83860778808594, 150.21905517578125, 217.14060974121094))","('dice', 0.8730908036231995, (602.9537353515625, 102.56287384033203, 64.71159362792969, 106.00052642822266))","('face', 0.6815640926361084, (1172.2694091796875, 491.9071350097656, 67.9829330444336, 137.10791015625))","('key', 0.5575445890426636, (893.8410034179688, 142.48695373535156, 122.71111297607422, 67.70783233642578))","('ball', 0.4006727635860443, (317.34283447265625, 597.4318237304688, 96.24653625488281, 89.11985778808594))"
"('face', 0.9906373023986816, (552.798828125, 323.03033447265625, 83.98872375488281, 112.9058609008789))","('map', 0.9703022241592407, (1206.49951171875, 245.2614288330078, 150.95433044433594, 215.45082092285156))","('dice', 0.8731071949005127, (603.3062744140625, 102.25224304199219, 63.584022521972656, 107.19766998291016))","('face', 0.6982822418212891, (1172.166015625, 492.02850341796875, 67.35514831542969, 136.27362060546875))","('key', 0.5375001430511475, (894.1434326171875, 142.2863311767578, 122.47915649414062, 66.641845703125))","('ball', 0.4100899398326874, (317.4661560058594, 597.1881713867188, 96.71763610839844, 88.42361450195312))"
"('face', 0.9887235760688782, (552.257080078125, 322.3220520019531, 84.33802795410156, 112.09561920166016))","('map', 0.9723684191703796, (1206.5360107421875, 245.30116271972656, 150.95433044433594, 218.043701171875))","('dice', 0.8696646690368652, (603.1066284179688, 101.90579223632812, 62.935367584228516, 105.92291259765625))","('face', 0.7239241600036621, (1171.9190673828125, 492.1957702636719, 66.9616470336914, 137.10791015625))","('key', 0.47614893317222595, (894.3347778320312, 142.724365234375, 123.19891357421875, 67.32870483398438))","('ball', 0.3988131582736969, (316.98406982421875, 597.2645874023438, 96.90672302246094, 89.01384735107422))"
"('face', 0.9853558540344238, (552.3145141601562, 321.8847351074219, 83.31477355957031, 113.73584747314453))","('map', 0.973693311214447, (1206.8836669921875, 244.85836791992188, 150.73336791992188, 217.67138671875))","('dice', 0.8878302574157715, (603.2425537109375, 102.3869857788086, 62.44560241699219, 105.7420425415039))","('face', 0.69827800989151, (1172.5740966796875, 492.0670471191406, 66.79837036132812, 136.2403564453125))","('key', 0.5172901749610901, (894.2552490234375, 142.49032592773438, 123.402099609375, 68.18891143798828))","('ball', 0.4157816469669342, (316.98114013671875, 597.0484008789062, 97.44050598144531, 88.10577392578125))"
"('face', 0.9829490184783936, (552.4548950195312, 322.00823974609375, 83.09132385253906, 113.50006866455078))","('map', 0.9727640748023987, (1206.4268798828125, 243.90167236328125, 150.4392547607422, 218.043701171875))","('dice', 0.8697323799133301, (603.2152709960938, 102.09886169433594, 62.873939514160156, 105.16920471191406))","('face', 0.7176309823989868, (1172.3426513671875, 492.12921142578125, 66.99435424804688, 135.47747802734375))","('key', 0.45672595500946045, (894.6115112304688, 142.5580291748047, 123.35691833496094, 66.88634490966797))","('ball', 0.4157842993736267, (317.6535949707031, 597.0966796875, 97.02508544921875, 88.55593872070312))"
"('face', 0.9810238480567932, (551.9091186523438, 321.8052673339844, 82.94944763183594, 113.73584747314453))","('map', 0.9733790755271912, (1206.40869140625, 244.15280151367188, 151.02806091308594, 218.52334594726562))","('dice', 0.8954557180404663, (603.2607421875, 101.89695739746094, 62.32375717163086, 106.14295196533203))","('face', 0.7080557942390442, (1171.659423828125, 492.17681884765625, 67.32227325439453, 139.09713745117188))","('ball', 0.4541613757610321, (317.9218444824219, 597.2661743164062, 96.61144256591797, 88.56134796142578))","('key', 0.4445074200630188, (894.0653076171875, 142.49032592773438, 122.83100128173828, 67.4603271484375))"
"('face', 0.9824234843254089, (551.8453369140625, 321.32049560546875, 83.92723083496094, 112.76812744140625))","('map', 0.9746543169021606, (1206.7186279296875, 244.02877807617188, 150.21905517578125, 217.51202392578125))","('dice', 0.869878351688385, (603.0885620117188, 102.07849884033203, 62.506614685058594, 105.10503387451172))","('face', 0.7015513777732849, (1172.4227294921875, 492.4246826171875, 66.99435424804688, 137.71176147460938))","('key', 0.490989089012146, (893.3236694335938, 142.393798828125, 121.82305908203125, 67.69129943847656))","('ball', 0.3913319706916809, (317.06109619140625, 597.2180786132812, 96.50535583496094, 88.0735092163086))"
"('face', 0.9844356179237366, (551.230712890625, 321.6600341796875, 82.62605285644531, 111.4271240234375))","('map', 0.9735865592956543, (1205.9755859375, 244.72007751464844, 151.39723205566406, 217.99049377441406))","('dice', 0.8625961542129517, (603.2152709960938, 102.23494720458984, 63.027626037597656, 105.4520263671875))","('face', 0.6467735767364502, (1172.429931640625, 491.84344482421875, 66.7005844116211, 140.3593292236328))","('key', 0.5575445890426636, (894.0978393554688, 141.97561645507812, 122.80851745605469, 67.87333679199219))","('ball', 0.41387635469436646, (317.163330078125, 596.9817504882812, 96.84759521484375, 88.41282653808594))"
"('face', 0.9853703379631042, (550.8194580078125, 323.159423828125, 82.46483612060547, 111.86324310302734))","('map', 0.971818208694458, (1206.24560546875, 245.71275329589844, 150.95433044433594, 219.4857635498047))","('dice', 0.8697822093963623, (603.052490234375, 102.54594421386719, 64.14533233642578, 105.61305236816406))","('face', 0.6950021386146545, (1172.65966796875, 492.3923645019531, 68.0161361694336, 141.25311279296875))","('key', 0.5428869724273682, (893.4502563476562, 142.20022583007812, 122.64372253417969, 67.95623779296875))","('ball', 0.434871107339859, (317.0388488769531, 597.0634155273438, 96.32881164550781, 88.30496978759766))"
"('face', 0.9855737090110779, (550.5574951171875, 323.1803283691406, 83.25377655029297, 111.91787719726562))","('map', 0.9733747839927673, (1205.671875, 245.07290649414062, 150.58624267578125, 221.2071990966797))","('dice', 0.8766299486160278, (602.8466186523438, 102.46952819824219, 63.52195739746094, 106.42839050292969))","('face', 0.6916835308074951, (1172.74462890625, 491.9364318847656, 67.68484497070312, 141.7021484375))","('key', 0.5793198347091675, (893.690185546875, 142.22557067871094, 124.17274475097656, 67.95623779296875))","('ball', 0.38206592202186584, (317.0433349609375, 597.0933837890625, 96.21128845214844, 88.76969909667969))"
"('face', 0.9844266772270203, (550.5359497070312, 323.8223571777344, 82.80780792236328, 111.75404357910156))","('map', 0.9768864512443542, (1205.9217529296875, 244.930908203125, 150.73336791992188, 220.88340759277344))","('dice', 0.8586131930351257, (602.7578125, 102.67520904541016, 63.33612823486328, 106.27259826660156))","('face', 0.6644040942192078, (1172.9404296875, 492.4935607910156, 68.14911651611328, 137.1748809814453))","('key', 0.5443991422653198, (893.0123901367188, 142.35116577148438, 122.63623046875, 67.41094207763672))","('ball', 0.4252835810184479, (317.4542541503906, 597.0733642578125, 95.69591522216797, 88.5667495727539))"
"('face', 0.9878314137458801, (551.0421142578125, 324.4438781738281, 82.38433837890625, 110.37120819091797))","('map', 0.9749812483787537, (1206.0654296875, 246.3163299560547, 151.61917114257812, 218.95054626464844))","('dice', 0.8694272637367249, (602.6519165039062, 102.66401672363281, 64.8697738647461, 107.09303283691406))","('face', 0.5726009011268616, (1172.709228515625, 492.8817443847656, 66.79837036132812, 139.6415557861328))","('key', 0.5527995228767395, (893.2522583007812, 142.01779174804688, 122.24015808105469, 68.10572052001953))","('ball', 0.4367786645889282, (317.3413391113281, 597.1781616210938, 95.66087341308594, 89.04644775390625))"
"('face', 0.9885520339012146, (550.1477661132812, 324.0928955078125, 83.76346588134766, 110.34426879882812))","('map', 0.9777343273162842, (1205.6541748046875, 246.08253479003906, 150.6597900390625, 220.56008911132812))","('dice', 0.823099672794342, (602.7666625976562, 102.58541107177734, 63.70832824707031, 106.62344360351562))","('face', 0.6396075487136841, (1172.828857421875, 492.4246826171875, 67.55277252197266, 136.87379455566406))","('key', 0.4810413420200348, (892.6242065429688, 142.06649780273438, 122.57637023925781, 68.52267456054688))","('ball', 0.431024968624115, (316.9338073730469, 597.1000366210938, 95.847900390625, 88.13804626464844))"
"('face', 0.9878051280975342, (550.0924072265625, 324.0731201171875, 85.06178283691406, 110.38468170166016))","('map', 0.9776800274848938, (1205.547607421875, 245.5001220703125, 151.47116088867188, 218.2567596435547))","('dice', 0.8161388039588928, (602.62548828125, 102.59947204589844, 62.99686050415039, 106.597412109375))","('face', 0.6432164907455444, (1172.828857421875, 491.74456787109375, 66.79837036132812, 138.58868408203125))","('key', 0.5419631004333496, (892.73486328125, 141.796875, 123.0335922241211, 69.0095443725586))","('ball', 0.41575559973716736, (317.43048095703125, 597.1499633789062, 95.41596984863281, 88.34539794921875))"
"('face', 0.9872564077377319, (550.175537109375, 323.756103515625, 83.47764587402344, 110.7761459350586))","('map', 0.9798393249511719, (1205.5653076171875, 245.60305786132812, 151.91558837890625, 218.95054626464844))","('dice', 0.8110760450363159, (602.5728149414062, 102.6528091430664, 64.20800018310547, 105.80661010742188))","('face', 0.6849988698959351, (1172.9749755859375, 491.6246337890625, 67.15811157226562, 139.77798461914062))","('key', 0.5568683743476868, (891.9485473632812, 141.754150390625, 122.30732727050781, 68.824462890625))","('ball', 0.4425530731678009, (317.3814697265625, 596.9367065429688, 95.05558013916016, 88.05470275878906))"
"('face', 0.9862227439880371, (550.0924072265625, 323.85107421875, 84.19402313232422, 109.41875457763672))","('map', 0.983248233795166, (1206.5360107421875, 245.4337615966797, 151.84141540527344, 218.36334228515625))","('dice', 0.793696939945221, (602.1402587890625, 102.80326843261719, 63.80172348022461, 107.31550598144531))","('face', 0.6644386649131775, (1173.3616943359375, 491.6145324707031, 66.86363220214844, 138.0820770263672))","('key', 0.5262146592140198, (892.3178100585938, 141.77687072753906, 121.97930908203125, 68.69017028808594))","('ball', 0.434860497713089, (316.9338073730469, 596.9617309570312, 95.10200500488281, 88.59378814697266))"
